FEATURE_ID,NAME,LEVEL_1,GEOCODE,index,class_id,level_0,level_1,level_2,level_3,level_4,color,feature_id,theme,raw,value,key,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1703,17,value,,,,,,,,,,,,,,,,,,"151571,2638","136990,1666","425479,8389","400978,1301","111551,4605","103138,857","197909,3288","464539,4058","290496,1599","122973,3803","229649,6119","188183,8379","356380,8941","881558,957","510755,4597","308795,7933","365741,599","342618,3975","389995,0794","396882,9272","579922,7236"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1803,18,relative,,,,,,,,,,,,,,,,,,,"0,04","0,04","0,13","0,12","0,03","0,03","0,06","0,15","0,09","0,04","0,07","0,06","0,11","0,27","0,16","0,1","0,12","0,11","0,12","0,12"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1803,18,value,,,,,,,,,,,,,,,,,,,"144308,9194","130513,52","406963,1827","386830,6865","110769,001","99724,39015","194488,727","464930,9106","290268,823","125004,7941","230119,8982","188574,3723","352377,806","861518,03","499189,2055","302532,1065","361838,6096","336555,9855","380413,0293","374207,4999"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1903,19,relative,,,,,,,,,,,,,,,,,,,,"0,04","0,04","0,12","0,12","0,03","0,03","0,06","0,15","0,09","0,04","0,07","0,06","0,11","0,26","0,15","0,1","0,11","0,11","0,12"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1903,19,value,,,,,,,,,,,,,,,,,,,,"136843,533","126487,5967","391596,0211","379433,7744","107861,1479","97925,49913","193974,1461","463819,0009","291047,369","125844,1566","230683,3218","185710,1554","338697,1997","816503,4195","475441,3866","297987,8738","352370,546","327444,4209","357412,582"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2003,20,relative,,,,,,,,,,,,,,,,,,,,,"0,04","0,04","0,12","0,11","0,03","0,03","0,06","0,15","0,09","0,04","0,07","0,06","0,1","0,26","0,15","0,09","0,11","0,1"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2003,20,value,,,,,,,,,,,,,,,,,,,,,"132095,2726","122032,8036","381770,9122","355073,3196","105024,814","98050,96308","192524,9386","463452,2069","289527,4132","125578,8957","230062,9572","179704,004","317974,6463","805840,4765","465849,2443","293523,3094","343209,6908","310946,7544"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2103,21,relative,,,,,,,,,,,,,,,,,,,,,,"0,04","0,04","0,11","0,11","0,03","0,03","0,06","0,14","0,09","0,04","0,07","0,06","0,1","0,25","0,15","0,09","0,11"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2103,21,value,,,,,,,,,,,,,,,,,,,,,,"126591,7839","120381,3946","364682,2227","348436,7751","103822,5187","98060,30212","192515,5335","458469,146","286679,9894","124665,8464","226085,4704","176358,1333","314839,0137","796158,5836","459354,0481","286404,6325","323830,0978"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2203,22,relative,,,,,,,,,,,,,,,,,,,,,,,"0,04","0,04","0,11","0,11","0,03","0,03","0,06","0,14","0,09","0,04","0,07","0,06","0,1","0,24","0,14","0,09"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2203,22,value,,,,,,,,,,,,,,,,,,,,,,,"124292,0406","115893,049","353659,379","342571,457","103997,5501","99098,58853","191983,0358","453339,2177","284834,4646","122124,8112","224396,255","174321,7971","311613,9278","741035,5708","447907,4448","271441,3941"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2303,23,relative,,,,,,,,,,,,,,,,,,,,,,,,"0,04","0,04","0,11","0,11","0,03","0,03","0,06","0,14","0,09","0,04","0,07","0,06","0,1","0,23","0,14"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2303,23,value,,,,,,,,,,,,,,,,,,,,,,,,"120243,379","114041,8166","348337,8619","339453,9666","103753,0621","99374,07964","191365,7076","443923,8466","277465,2634","120005,4827","222163,3765","173578,7786","308042,2787","725996,8756","428267,8112"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2403,24,relative,,,,,,,,,,,,,,,,,,,,,,,,,"0,04","0,04","0,11","0,11","0,03","0,03","0,06","0,13","0,09","0,04","0,07","0,05","0,1","0,23"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2403,24,value,,,,,,,,,,,,,,,,,,,,,,,,,"118220,7399","113108,7258","344481,879","339586,0911","102879,9549","98999,97082","189811,5915","418497,1401","268709,3257","118720,9926","220974,8014","170692,7268","302786,7331","710176,4066"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2503,25,relative,,,,,,,,,,,,,,,,,,,,,,,,,,"0,04","0,04","0,11","0,11","0,03","0,03","0,06","0,12","0,08","0,04","0,07","0,05","0,09"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2503,25,value,,,,,,,,,,,,,,,,,,,,,,,,,,"117411,8916","112727,5703","343687,4393","337372,7535","101392,5717","98036,69769","184246,5813","388362,2399","265180,1632","117569,2316","218007,3549","165811,1237","289451,8904"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2603,26,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,04","0,04","0,11","0,11","0,03","0,03","0,06","0,12","0,08","0,04","0,07","0,05"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2603,26,value,,,,,,,,,,,,,,,,,,,,,,,,,,,"116673,0541","113057,1146","337422,1096","336540,503","99776,63458","96043,14625","179973,1607","382077,4073","262103,796","115505,7139","211928,3931","155929,0861"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2703,27,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,04","0,04","0,1","0,11","0,03","0,03","0,06","0,12","0,08","0,04","0,06"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2703,27,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116592,3626","112630,1745","333501,2471","334131,0337","97944,5018","94244,09778","176775,0718","376471,3233","260985,1051","112485,1364","199060,2816"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2803,28,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,04","0,04","0,1","0,1","0,03","0,03","0,06","0,12","0,08","0,03"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2803,28,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116326,8488","111938,1051","331944,3024","326302,8826","95973,30129","93196,8987","175205,4395","372998,7717","257941,7553","107322,8472"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2903,29,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,04","0,03","0,1","0,1","0,03","0,03","0,06","0,12","0,08"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2903,29,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115922,0837","110425,0587","325394,4167","318535,3312","94045,22115","92821,60843","173824,1847","367469,2421","250682,2351"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3003,30,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,04","0,03","0,1","0,1","0,03","0,03","0,05","0,12"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3003,30,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115363,513","107749,724","319272,9124","314909,8504","92696,31581","92118,59094","170306,0412","359671,4573"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3103,31,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,04","0,03","0,1","0,1","0,03","0,03","0,05"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3103,31,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113570,2096","105600,3013","311513,8391","312780,6921","91321,84097","90690,73638","160182,526"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3203,32,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,04","0,03","0,1","0,1","0,03","0,03"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3203,32,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112358,5243","103963,9706","306287,8216","311458,7083","88974,86687","87524,22982"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3303,33,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,04","0,03","0,1","0,1","0,03"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3303,33,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111129,2088","102912,6235","303663,6204","304889,6283","83391,22624"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3403,34,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,04","0,03","0,09","0,1"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3403,34,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110133,5756","101831,6736","294820,5057","293460,6969"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3503,35,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,03","0,03","0,09"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3503,35,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108919,7636","99595,52907","267766,6829"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3603,36,relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,03","0,03"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3603,36,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106694,8129","96167,3317"
