FEATURE_ID,NAME,LEVEL_1,GEOCODE,index,class_id,level_0,level_1,level_2,level_3,level_4,color,feature_id,theme,raw,value,key,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2003,20,relative,,,,,,,,,,,,,,,,,,,,"0,08","0,03","0,03","0,05","0,05","0,04","0,04","0,02","0,04","0,05","0,04","0,05","0,04","0,04","0,07","0,06","0,06","0,07"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2003,20,value,,,,,,,,,,,,,,,,,,,,"263671,5419","99952,24277","100309,4155","156816,5385","152073,1128","123877,5845","111975,2296","72726,97198","132278,9902","156253,8949","112005,7912","159505,2512","128654,9632","128069,6712","219805,1195","180309,2894","184367,5303","221333,7542"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2103,21,relative,,,,,,,,,,,,,,,,,,,,,"0,08","0,03","0,03","0,05","0,05","0,04","0,03","0,02","0,04","0,05","0,03","0,05","0,04","0,04","0,07","0,06","0,06"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2103,21,value,,,,,,,,,,,,,,,,,,,,,"256882,5032","97367,59573","97204,37351","151531,2651","147888,8108","120383,2649","109155,9657","70405,9641","128336,8865","151859,8077","108509,9552","154654,5683","124761,3009","124365,625","214752,3535","175884,7136","176364,5574"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2203,22,relative,,,,,,,,,,,,,,,,,,,,,,"0,08","0,03","0,03","0,05","0,05","0,04","0,03","0,02","0,04","0,05","0,03","0,05","0,04","0,04","0,07","0,05"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2203,22,value,,,,,,,,,,,,,,,,,,,,,,"250798,7245","94817,57645","94946,31084","147170,8068","144581,5083","116859,9237","106067,3166","68423,89571","124140,2775","146601,0807","105663,8642","149822,2873","121397,428","121211,4252","209887,5469","168063,2187"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2303,23,relative,,,,,,,,,,,,,,,,,,,,,,,"0,08","0,03","0,03","0,05","0,04","0,04","0,03","0,02","0,04","0,05","0,03","0,05","0,04","0,04","0,06"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2303,23,value,,,,,,,,,,,,,,,,,,,,,,,"244419,0544","93048,83414","92989,63408","143888,6526","141444,7733","113564,0663","103232,311","66407,13213","120175,598","142893,609","102852,433","145992,3917","118556,8858","118168,5375","198944,5082"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2403,24,relative,,,,,,,,,,,,,,,,,,,,,,,,"0,08","0,03","0,03","0,04","0,04","0,03","0,03","0,02","0,04","0,04","0,03","0,05","0,04","0,04"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,2403,24,value,,,,,,,,,,,,,,,,,,,,,,,,"240081,3544","91520,97034","91048,35848","140404,8938","137705,9561","110621,3095","100270,5875","64660,83253","116743,205","139443,7389","100360,0408","142838,6286","115752,7148","112998,5768"
